============================================================
data:
  name: traffic
  root_path: data/traffic
  data_path: traffic.csv
  data_kind: custom
  features: M
  target: OT
  freq: h
  n_vars: 862
model:
  name: lstm
  type: rnn
  d_model: 128
  e_layers: 2
  dropout: 0.1
  revin: true
  affine: true
train:
  name: default
  seq_len: 96
  label_len: 48
  pred_len: 720
  batch_size: 8
  num_workers: 4
  train_epochs: 10
  patience: 3
  learning_rate: 0.001
  loss: mse
  lradj: type1
  weight_decay: 0.0
  gradient_clip: 1.0
  use_amp: true
  gpu_resident_data: false
  matmul_precision: highest
  log_interval: 50
  val_interval: 1
  checkpoint_dir: checkpoints
  use_wandb: false
  wandb_project: vglg-tsf
seed: 2021
device: cuda
project: vglg-tsf
run_name: null
tag: supp_method_b

============================================================
Loaded data | train=11465 val=1037 test=2789
Built model: lstm | params=293,772
  epoch 9 batch 750/1433 loss=0.316918
  epoch 9 batch 800/1433 loss=0.316883
  epoch 9 batch 850/1433 loss=0.317024
  epoch 9 batch 900/1433 loss=0.317202
  epoch 9 batch 950/1433 loss=0.317170
  epoch 9 batch 1000/1433 loss=0.317307
  epoch 9 batch 1050/1433 loss=0.317252
  epoch 9 batch 1100/1433 loss=0.317206
  epoch 9 batch 1150/1433 loss=0.317463
  epoch 9 batch 1200/1433 loss=0.317576
  epoch 9 batch 1250/1433 loss=0.317558
  epoch 9 batch 1300/1433 loss=0.317572
  epoch 9 batch 1350/1433 loss=0.317771
  epoch 9 batch 1400/1433 loss=0.317688
Epoch 9 | train_loss=0.317610 val_mse=0.501192 val_mae=0.324125 (322.8s)
  Validation improved to 0.501192; saved checkpoint.
  epoch 10 batch 50/1433 loss=0.316468
  epoch 10 batch 100/1433 loss=0.316972
  epoch 10 batch 150/1433 loss=0.317715
  epoch 10 batch 200/1433 loss=0.316444
  epoch 10 batch 250/1433 loss=0.316661
  epoch 10 batch 300/1433 loss=0.316449
  epoch 10 batch 350/1433 loss=0.316475
  epoch 10 batch 400/1433 loss=0.316548
  epoch 10 batch 450/1433 loss=0.316716
  epoch 10 batch 500/1433 loss=0.316829
  epoch 10 batch 550/1433 loss=0.317189
  epoch 10 batch 600/1433 loss=0.317243
  epoch 10 batch 650/1433 loss=0.317393
  epoch 10 batch 700/1433 loss=0.317351
  epoch 10 batch 750/1433 loss=0.317389
  epoch 10 batch 800/1433 loss=0.317252
  epoch 10 batch 850/1433 loss=0.317297
  epoch 10 batch 900/1433 loss=0.317402
  epoch 10 batch 950/1433 loss=0.317566
  epoch 10 batch 1000/1433 loss=0.317681
  epoch 10 batch 1050/1433 loss=0.317426
  epoch 10 batch 1100/1433 loss=0.317377
  epoch 10 batch 1150/1433 loss=0.317491
  epoch 10 batch 1200/1433 loss=0.317410
  epoch 10 batch 1250/1433 loss=0.317326
  epoch 10 batch 1300/1433 loss=0.317329
  epoch 10 batch 1350/1433 loss=0.317441
  epoch 10 batch 1400/1433 loss=0.317458
Epoch 10 | train_loss=0.317400 val_mse=0.501015 val_mae=0.324158 (313.8s)
  Validation improved to 0.501015; saved checkpoint.

Test | mse=0.620036 mae=0.358706 rmse=0.787424
