============================================================
data:
  name: weather
  root_path: data/weather
  data_path: weather.csv
  data_kind: custom
  features: M
  target: OT
  freq: t
  n_vars: 21
model:
  name: segrnn
  type: rnn
  d_model: 512
  seg_len: 48
  dropout: 0.5
train:
  name: default
  seq_len: 96
  label_len: 48
  pred_len: 96
  batch_size: 32
  num_workers: 4
  train_epochs: 30
  patience: 8
  learning_rate: 0.001
  loss: mse
  lradj: type3
  weight_decay: 0.0
  gradient_clip: 1.0
  use_amp: true
  gpu_resident_data: false
  matmul_precision: highest
  log_interval: 50
  val_interval: 1
  checkpoint_dir: checkpoints
  use_wandb: false
  wandb_project: vglg-tsf
seed: 2021
device: cuda
project: vglg-tsf
run_name: null
tag: supp_method_b

============================================================
Loaded data | train=36696 val=5175 test=10444
Built model: segrnn | params=1,631,536
  epoch 16 batch 350/1146 loss=0.374407
  epoch 16 batch 400/1146 loss=0.371735
  epoch 16 batch 450/1146 loss=0.363325
  epoch 16 batch 500/1146 loss=0.361554
  epoch 16 batch 550/1146 loss=0.366412
  epoch 16 batch 600/1146 loss=0.365339
  epoch 16 batch 650/1146 loss=0.362966
  epoch 16 batch 700/1146 loss=0.366953
  epoch 16 batch 750/1146 loss=0.366077
  epoch 16 batch 800/1146 loss=0.368115
  epoch 16 batch 850/1146 loss=0.368515
  epoch 16 batch 900/1146 loss=0.369311
  epoch 16 batch 950/1146 loss=0.372818
  epoch 16 batch 1000/1146 loss=0.373350
  epoch 16 batch 1050/1146 loss=0.410342
  epoch 16 batch 1100/1146 loss=0.409633
Epoch 16 | train_loss=0.405912 val_mse=0.420059 val_mae=0.285186 (12.6s)
  EarlyStopping: 1/8
  epoch 17 batch 50/1146 loss=0.370016
  epoch 17 batch 100/1146 loss=0.411343
  epoch 17 batch 150/1146 loss=0.416956
  epoch 17 batch 200/1146 loss=0.396557
  epoch 17 batch 250/1146 loss=0.382739
  epoch 17 batch 300/1146 loss=0.378715
  epoch 17 batch 350/1146 loss=0.372947
  epoch 17 batch 400/1146 loss=0.377659
  epoch 17 batch 450/1146 loss=0.463636
  epoch 17 batch 500/1146 loss=0.456303
  epoch 17 batch 550/1146 loss=0.448537
  epoch 17 batch 600/1146 loss=0.440498
  epoch 17 batch 650/1146 loss=0.431477
  epoch 17 batch 700/1146 loss=0.428349
  epoch 17 batch 750/1146 loss=0.420486
  epoch 17 batch 800/1146 loss=0.418523
  epoch 17 batch 850/1146 loss=0.414160
  epoch 17 batch 900/1146 loss=0.414085
  epoch 17 batch 950/1146 loss=0.409212
  epoch 17 batch 1000/1146 loss=0.406094
  epoch 17 batch 1050/1146 loss=0.406576
  epoch 17 batch 1100/1146 loss=0.405790
Epoch 17 | train_loss=0.403656 val_mse=0.409915 val_mae=0.280050 (12.8s)
  Validation improved to 0.409915; saved checkpoint.
  epoch 18 batch 50/1146 loss=1.184945
  epoch 18 batch 100/1146 loss=0.777891
  epoch 18 batch 150/1146 loss=0.624466
  epoch 18 batch 200/1146 loss=0.566916
  epoch 18 batch 250/1146 loss=0.516329
  epoch 18 batch 300/1146 loss=0.480396
  epoch 18 batch 350/1146 loss=0.466582
  epoch 18 batch 400/1146 loss=0.440792
  epoch 18 batch 450/1146 loss=0.437609
  epoch 18 batch 500/1146 loss=0.431662
  epoch 18 batch 550/1146 loss=0.424789
  epoch 18 batch 600/1146 loss=0.416745
  epoch 18 batch 650/1146 loss=0.410531
  epoch 18 batch 700/1146 loss=0.410224
  epoch 18 batch 750/1146 loss=0.411935
  epoch 18 batch 800/1146 loss=0.410780
  epoch 18 batch 850/1146 loss=0.408027
  epoch 18 batch 900/1146 loss=0.410192
  epoch 18 batch 950/1146 loss=0.410003
  epoch 18 batch 1000/1146 loss=0.408948
  epoch 18 batch 1050/1146 loss=0.406142
  epoch 18 batch 1100/1146 loss=0.402055
Epoch 18 | train_loss=0.400026 val_mse=0.411782 val_mae=0.283339 (18.0s)
  EarlyStopping: 1/8
  epoch 19 batch 50/1146 loss=0.479294
  epoch 19 batch 100/1146 loss=0.391913
  epoch 19 batch 150/1146 loss=0.392960
  epoch 19 batch 200/1146 loss=0.377981
  epoch 19 batch 250/1146 loss=0.377656
